Gene stable ID	Gene name	NCBI gene ID
WBGene00000223	atf-7	175587
WBGene00000224	atgp-1	178504
WBGene00000225	atgp-2	175125
WBGene00000226	atl-1	179352
WBGene00000227	atm-1	3565793
WBGene00000228	atn-1	179709
WBGene00000229	atp-2	175716
WBGene00000230	atp-3	172195
WBGene00000231	atx-2	176465
WBGene00000232	avr-14	172270
WBGene00000233	avr-15	179834
WBGene00000235	baf-1	176330
WBGene00000236	bag-1	172373
WBGene00000237	bam-2	171868
WBGene00000238	bar-1	180982
WBGene00000239	bas-1	175778
WBGene00000240	pah-1	174401
WBGene00000241	bbs-1	260219
WBGene00000242	bbs-2	259580
WBGene00000244	bbs-8	188904
WBGene00000245	bca-1	180890
WBGene00000246	bcc-1	178008
WBGene00000247	bec-1	177345
WBGene00000248	ben-1	175461
WBGene00000249	bir-1	179597
WBGene00000250	bir-2	179841
WBGene00000251	bli-1	174653
WBGene00000252	bli-2	191611
WBGene00000253	bli-3	171608
WBGene00000254	bli-4	172333
WBGene00000255	bli-5	185812
WBGene00000256	bli-6	177399
WBGene00000257	bmk-1	179948
WBGene00000259	bpl-1	174039
WBGene00000262	bra-1	181481
WBGene00000263	F23H11.5	175254
WBGene00000264	brc-1	175499
WBGene00000265	brd-1	175959
WBGene00000266	bre-1	177717
WBGene00000267	bre-2	189753
WBGene00000268	bre-3	176332
WBGene00000269	bre-4	190668
WBGene00000270	bre-5	178142
WBGene00000271	brf-1	174199
WBGene00000272	bro-1	172158
WBGene00000273	brp-1	176637
WBGene00000274	btf-1	174965
WBGene00000275	bub-1	172468
WBGene00000276	byn-1	175968
WBGene00000277	cab-1	181382
WBGene00000279	cah-1	186231
WBGene00000280	cah-2	174218
WBGene00000281	cah-3	181713
WBGene00000282	cah-4	181478
WBGene00000283	cah-5	180972
WBGene00000284	cah-6	189049
WBGene00000285	cal-1	179715
WBGene00000286	cal-2	182789
WBGene00000287	cal-3	177143
WBGene00000288	cal-4	177945
WBGene00000289	cam-1	174473
WBGene00000292	cap-1	177497
WBGene00000293	cap-2	174673
WBGene00000294	cas-1	181729
WBGene00000295	cat-1	180837
WBGene00000296	cat-2	173411
WBGene00000298	cat-4	179472
WBGene00000301	cav-1	177815
WBGene00000302	cav-2	179838
WBGene00000308	C04A11.t1	
WBGene00000310	C05C9.t1	
WBGene00000311	C05C9.t2	
WBGene00000366	cbp-1	176380
WBGene00000367	cca-1	181045
WBGene00000368	ccb-1	171933
WBGene00000369	ccf-1	176625
WBGene00000370	ccg-1	178426
WBGene00000371	cox-5B	172832
WBGene00000372	cyp-13A7	188362
WBGene00000373	cyp-14A5	178926
WBGene00000374	cyp-31A1	
WBGene00000375	cyp-44A1	173936
WBGene00000376	ccr-4	178184
WBGene00000377	cct-1	174318
WBGene00000378	cct-2	174421
WBGene00000379	cct-4	174330
WBGene00000380	cct-5	175588
WBGene00000381	cct-6	175819
WBGene00000382	cdc-6	172029
WBGene00000383	cdc-14	173945
WBGene00000386	cdc-25.1	172353
WBGene00000387	cdc-25.2	178645
WBGene00000388	cdc-25.3	176260
WBGene00000389	cdc-25.4	191612
WBGene00000390	cdc-42	174233
WBGene00000391	cdd-1	183546
WBGene00000392	cdd-2	186044
WBGene00000393	cdf-1	180923
WBGene00000395	cdh-3	176085
WBGene00000396	cdh-4	175590
WBGene00000397	cdh-5	177671
WBGene00000399	cdh-7	175143
WBGene00000401	cdh-9	186608
WBGene00000402	cdh-10	183476
WBGene00000403	casy-1	174006
WBGene00000405	cdk-1	176374
WBGene00000406	cdk-4	181472
WBGene00000407	cdk-5	176774
